Player,PPG,MPG,APG,DRPG,ORPG,RPG,BLKPG,STPG,PFPG,FTA,FTM,FT%,3PA,3PM,3P%
Moustafa Mohamed Elmekawi,0.1,5.8,0.1,0.9,0.0,0.9,0.1,0.1,0.0,3.8,0.8,21.1,0.1,0.1,100.0
Seifelden Kaidar Hendawy,0.0,1.5,0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.2,0.1,50.0,0.1,0.0,0.0
Ehab Amin Saleh,0.9,1.0,0.6,1.4,0.1,1.5,0.1,0.0,0.0,4.5,2.5,55.6,35.5,17.0,47.9
Amr Sherif Abdelhalim,1.5,0.5,1.1,0.2,0.1,0.3,0.0,0.2,0.1,3.6,2.1,58.3,3.0,0.7,23.3
Marawan Sarhan,0.1,0.4,0.0,0.6,0.0,0.6,0.0,0.0,0.1,0.5,0.4,80.0,0.1,0.0,0.0
Seif Said,0.1,2.4,0.3,0.5,0.0,0.5,0.0,0.0,1.0,0.7,0.4,57.1,0.0,0.0,0.0
Ahmed Moheib,0.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,2.9,0.8,27.6
Patrick Gardner,2.1,8.7,0.1,0.7,0.1,0.8,0.0,0.1,0.1,3.5,3.4,97.1,1.6,0.7,43.7
Mohamed Mahmoud Abouelnasr Abdelkawy,1.1,1.1,0.5,1.2,0.1,1.3,0.0,0.0,0.0,1.0,0.3,30.0,3.3,1.4,42.4
Mark Steven Lyons,0.7,10.3,0.9,0.5,0.0,0.5,0.0,0.1,0.2,1.8,1.1,61.1,18.6,7.3,39.2
Karim Hatem Ibrahem Mahmoud Elgizawy,0.9,2.9,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,100.0,0.1,0.0,0.0
Prince Adams Ali,1.8,1.3,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.7,87.5,1.7,1.0,58.8
Tony Rasean Mitchell Jr,0.3,0.6,0.5,2.6,0.1,2.7,0.0,0.0,0.0,0.1,0.1,100.0,11.2,2.2,19.6
Omar Tarek Oraby,3.5,3.9,0.5,0.0,1.5,1.5,0.2,0.0,0.2,4.5,3.0,66.7,0.0,0.0,0.0
